Danemark,Handball(H)
France,Handball(H)
Pologne,Handball(H)
Allemagne,Handball(H)
Croatie,Handball(H)
Slovenie,Handball(H)
Qatar,Handball(H)
Bresil,Handball(H)
Russie,Handball(F)
France,Handball(F)
Pays-Bas,Handball(F)
Norvege,Handball(F)
Angola,Handball(F)
Suede,Handball(F)
Espagne,Handball(F)
Bresil,Handball(F)
Etats-Unis,Natation(H)
France,Natation(H)
Australie,Natation(H)
Russie,Natation(H)
Bresil,Natation(H)
Belgique,Natation(H)
Canada,Natation(H)
Japon,Natation(H)
Etats-Unis,Natation(H)
Grande-Bretagne,Natation(H)
Allemagne,Natation(H)
Pays-Bas,Natation(H)
Jamaique,Athlétisme(H)
Japon,Athlétisme(H)
Canada,Athlétisme(H)
Chine,Athlétisme(H)
Grande-Bretagne,Athlétisme(H)
Bresil,Athlétisme(H)
Trinite-et-Tobago,Athlétisme(H)
Etats-Unis,Athlétisme(H)
