1,Danemark,Handball(H)
2,France,Handball(H)
3,Pologne,Handball(H)
4,Allemagne,Handball(H)
5,Croatie,Handball(H)
6,Slovenie,Handball(H)
7,Qatar,Handball(H)
8,Bresil,Handball(H)
9,Russie,Handball(F)
10,France,Handball(F)
11,Pays-Bas,Handball(F)
12,Norvege,Handball(F)
13,Angola,Handball(F)
14,Suede,Handball(F)
15,Espagne,Handball(F)
16,Bresil,Handball(F)
17,Etats-Unis,Natation(H)
18,France,Natation(H)
19,Australie,Natation(H)
20,Russie,Natation(H)
21,Bresil,Natation(H)
22,Belgique,Natation(H)
23,Canada,Natation(H)
24,Japon,Natation(H)
25,Etats-Unis,Natation(H)
26,Grande-Bretagne,Natation(H)
27,Allemagne,Natation(H)
28,Pays-Bas,Natation(H)
29,Jamaique,Athlétisme(H)
30,Japon,Athlétisme(H)
31,Canada,Athlétisme(H)
32,Chine,Athlétisme(H)
33,Grande-Bretagne,Athlétisme(H)
34,Bresil,Athlétisme(H)
35,Trinite-et-Tobago,Athlétisme(H)
36,Etats-Unis,Athlétisme(H)
