FINALE,mardi9août,,,
RangAthlète,Perf.,,,Rec.
1.,Y.Sun,(CHN),,1'44''65
2.,C.Le Clos,(AFS),,1'45''20
3.,C.Dwyer,(USA),,1'45''23
4.,J.Guy,(GBR),,1'45''49
5.,T.Haas,(USA),,1'45''58
6.,P.Biedermann,(ALL),,1'45''84
7.,K.Hagino,(JAP),,1'45''90
8.,A.Krasnykh,(RUS),,1'45''91
DEMI-FINALES,lundi8août,,,
n1,,,,
1.,C.Dwyer,(USA),Q,1'45''55
2.,P.Biedermann,(ALL),Q,1'45''69
3.,J.Guy,(GBR),Q,1'46''23
4.,K.Majchrzak,(POL),,1'46''30
5.,S.Verschuren,(HOL),,1'46''34
6.,D.Brown,(AFS),,1'46''57
7.,V.Stjepanovic,(SER),,1'47''28
8.,G.Surgeloose,(BEL),,1'47''36
n2,,,,
1.,Y.Sun,(CHN),Q,1'44''63
2.,K.Hagino,(JAP),Q,1'45''45
3.,A.Krasnykh,(RUS),Q,1'45''69
4.,T.Haas,(USA),Q,1'45''92
5.,C.Le Clos,(AFS),Q,1'45''94
6.,T.Fraser-Holmes,(AUS),,1'46''24
7.,D.Kozma,(HON),,1'47''53
8.,C.Quintero,(VEN),,1'48''00
SÉRIES,dimanche7août,,,
n1,,,,
1.,K.Baqleh,(JOR),,1'48''42
2.,A.Sancov,(MOL),,1'48''85
3.,A.Tavcar,(SLV),,1'49''96
4.,M.Acosta Jimenez,(SAL),,1'51''46
5.,N.Mascoll-Gomes,(ANT),,1'53''16
6.,M.Schreuders,(ARU),,1'55''10
7.,B.Schuster,(SAM),,1'57''72
8.,A.Gebrel,(PLE),,1'59''71
n2,,,,
1.,C.Quintero,(VEN),Q,1'47''02
2.,K.Shang,(CHN),,1'48''46
3.,M.Belotti,(ITA),,1'48''71
4.,C.Kurle,(GBR),,1'49''08
5.,A.Haldemann,(SUI),,1'49''94
6.,H.Christiansen,(NOR),,1'50''09
7.,A.Mathlouthi,(TUN),,1'50''39
7.,Q.Hoang,(VIE),,1'50''39
n3,,,,
1.,F.Auboeck,(AUT),,1'47''24
2.,M.Stanley,(NZL),,1'47''37
3.,F.Grabich,(ARG),,1'47''41
4.,A.D'Arrigo,(ITA),,1'47''46
5.,M.El Kamash,(EGY),,1'47''52
6.,W.Sim,(MAL),,1'47''67
7.,N.Lobintsev,(RUS),,1'49''35
8.,P.Bernek,(HON),,1'49''73
n4,,,,
1.,P.Biedermann,(ALL),Q,1'45''78
2.,T.Haas,(USA),Q,1'46''13
3.,J.Stravius,(FRA),Q,1'46''67
4.,D.Kozma,(HON),Q,1'46''68
5.,G.Surgeloose,(BEL),,1'47''19
6.,Y.Agnel,(FRA),,1'47''35
7.,J.De Lucca,(BRE),,1'47''63
-,N.Nilo,(BRE),,DNS
n5,,,,
1.,Y.Sun,(CHN),Q,1'45''75
2.,C.Le Clos,(AFS),Q,1'45''89
3.,S.Verschuren,(HOL),Q,1'46''32
4.,T.Fraser-Holmes,(AUS),Q,1'46''49
5.,D.Brown,(AFS),Q,1'46''78
6.,K.Majchrzak,(POL),Q,1'47''12
7.,C.Fildebrandt,(ALL),,1'47''81
8.,D.McKeon,(AUS),,1'48''38
n6,,,,
1.,C.Dwyer,(USA),Q,1'45''95
2.,J.Guy,(GBR),Q,1'46''13
3.,K.Hagino,(JAP),Q,1'46''19
4.,V.Stjepanovic,(SER),Q,1'46''64
5.,A.Krasnykh,(RUS),Q,1'47''15
6.,M.Koski,(FIN),,1'47''40
7.,D.Dreesens,(HOL),,1'47''76
8.,T.Park,(CDS),,1'48''06
