mid,eid,tour,date_match
1,1,Finale,13/08/16
2,1,Demi-finale,12/08/16
3,1,Demi-finale,12/08/16
4,2,Finale,14/08/16
5,2,Demi-finale,13/08/16
6,2,Demi-finale,13/08/16
7,3,Finale,11/08/16
8,3,Demi-finale,10/08/16
9,3,Demi-finale,10/08/16
10,4,Finale,12/08/16
11,4,Demi-finale,11/08/16
12,4,Demi-finale,11/08/16
13,5,Finale,09/08/16
14,6,Finale,10/08/16
15,7,Finale,07/08/16
16,8,Finale,08/08/16
17,21,Finale,10/08/16
18,19,Finale,13/08/16
19,23,Finale,10/08/16
20,28,Finale,10/08/16
21,30,Finale,10/08/16
22,32,Finale,14/08/16
23,51,Finale,14/08/16
24,50,Finale,15/08/16
25,53,Finale,18/08/16
26,52,Finale,19/08/16
27,55,Finale,16/08/16
28,54,Finale,15/08/16
29,50,Demi-finale,14/08/16
30,50,Séries,13/08/16
31,52,Demi-finale,18/08/16
32,52,Séries,16/08/16
33,97,Finale,17/08/16
34,65,Finale,21/08/16
35,66,Finale,14/08/16
36,102,Finale,20/08/16
37,102,Petite finale,20/08/16
38,102,Demi-finale,19/08/16
39,102,Demi-finale,18/08/16
40,102,Quart de finale,17/08/16
41,102,Quart de finale,16/08/16
42,102,Quart de finale,16/08/16
43,102,Quart de finale,16/08/16
44,101,Finale,21/08/16
45,101,Petite finale,21/08/16
46,101,Demi-finale,20/08/16
47,101,Demi-finale,19/08/16
48,101,Quart de finale,18/08/16
49,101,Quart de finale,17/08/16
50,101,Quart de finale,17/08/16
51,101,Quart de finale,17/08/16
