mid,pid,performance
1,276,21s40
1,277,21s41
1,278,21s49
1,279,21s68
1,280,21s74
1,281,21s79
1,282,21s79
1,283,22s08
2,277,21s32
2,278,21s47
2,281,21s80
2,284,21s88
2,285,21s97
2,286,21s98
2,287,21s99
3,276,21s46
3,280,21s46
3,279,21s54
3,282,21s71
3,283,21s71
3,289,21s84
3,290,21s89
3,291,22s05
4,292,24s07
4,293,24s09
4,294,24s11
4,295,24s13
4,296,24s15
4,297,24s19
4,298,24s42
4,299,24s69
5,295,24s41
5,298,24s43
5,299,24s45
5,300,24s60
5,301,24s61
5,302,24s62
5,303,24s69
5,304,24s72
6,292,24s28
6,296,24s32
6,297,24s39
6,293,24s44
6,294,24s53
6,305,24s67
6,306,24s71
6,307,25s31
7,313,47s58
7,314,47s80
7,278,47s85
7,285,47s88
7,315,48s01
7,316,48s02
7,290,48s12
7,317,48s41
8,278,47s83
8,290,47s93
8,316,47s97
8,284,48s26
8,318,48s28
8,319,48s37
8,289,48s49
8,320,48s70
9,313,47s88
9,285,47s93
9,314,48s14
9,315,48s20
9,317,48s23
9,321,48s28
9,322,48s57
9,323,48s66
10,308,52s70
10,293,52s70
10,303,52s99
10,298,53s04
10,297,53s08
10,296,53s24
10,305,53s30
10,302,53s36
11,293,53s11
11,298,53s29
11,302,53s35
11,297,53s42
11,309,53s98
11,310,54s39
11,311,54s54
11,299,54s59
12,296,52s71
12,308,52s72
12,303,53s16
12,305,53s53
12,301,54s00
12,292,54s19
12,312,54s31
12,294,54s34
13,324,1m44s65
13,352,1m45s20
13,325,1m45s23
13,326,1m45s49
13,327,1m45s58
13,328,1m45s84
13,329,1m45s90
13,330,1m45s91
14,331,1m53s73
14,303,1m54s08
14,332,1m54s92
14,333,1m55s18
14,334,1m55s25
14,335,1m55s25
14,336,1m56s27
14,311,1m56s29
15,337,3m41s55
15,324,3m41s68
15,338,3m43s49
15,325,3m44s01
15,339,3m44s16
15,326,3m44s68
15,340,3m45s28
15,341,3m49s07
16,331,3m56s46
16,342,4m01s23
16,343,4m01s92
16,344,4m02s37
16,345,4m04s69
16,346,4m05s30
16,347,4m05s68
16,348,4m06s98
17,349,1m53s36
17,350,1m53s40
17,351,1m53s62
17,352,1m54s06
17,353,1m54s82
17,354,1m55s64
17,355,1m56s24
17,356,1m57s04
18,320,50s39
18,352,51s14
18,349,51s14
18,355,51s14
18,357,51s26
18,358,51s58
18,359,51s73
18,360,51s84
19,349,1m53s36
19,350,1m53s40
19,351,1m53s62
19,352,1m54s06
19,353,1m54s82
19,354,1m55s64
19,355,1m56s24
19,356,1m57s04
20,17,3m09s92
20,18,3m10s53
20,19,3m11s37
20,20,3m11s64
20,21,3m13s21
20,22,3m13s57
20,23,3m14s35
20,24,3m14s48
21,25,7m00s66
21,26,7m03s13
21,24,7m03s50
21,19,7m04s18
21,20,7m05s70
21,27,7m07s28
21,28,7m09s10
21,22,7m11s64
22,17,3m27s95
22,26,3m29s24
22,19,3m29s93
22,20,3m31s30
22,24,3m31s97
22,21,3m32s84
22,27,3m33s50
23,430,10s71
23,431,10s83
23,432,10s86
23,433,10s86
23,434,10s90
23,435,10s92
23,436,10s94
23,437,11s80
24,382,09s81
24,383,09s89
24,384,09s91
24,385,09s93
24,386,09s94
24,387,09s96
24,388,10s04
24,389,10s06
30,382,10s07
30,412,10s12
30,469,10s18
30,413,10s23
30,414,10s28
30,415,10s29
30,416,10s39
30,417,10s47
30,418,10s79
25,415,21s78
25,434,21s88
25,431,22s15
25,433,22s21
25,438,22s31
25,435,22s34
25,439,22s65
25,440,22s69
26,382,19s78
26,384,20s02
26,390,20s12
26,391,20s12
26,392,20s13
26,393,20s19
26,394,20s23
26,395,20s43
31,382,19s78
31,384,19s80
31,391,20s08
31,395,20s09
31,419,20s43
31,420,20s43
31,421,20s59
31,422,20s60
32,382,20s28
32,421,20s34
32,423,20s42
32,424,20s61
32,425,20s64
32,426,20s71
32,427,20s78
32,428,20s78
27,441,49s44
27,442,49s51
27,443,49s85
27,444,50s34
27,445,50s41
27,446,50s97
27,447,51s24
27,448,51s25
28,396,43s03
28,397,43s76
28,393,43s85
28,398,44s01
28,399,44s25
28,400,44s36
28,401,44s45
28,402,44s61
29,382,09s86
29,384,09s92
29,392,10s01
29,408,10s01
29,409,10s05
29,410,10s12
29,411,10s13
29,412,DQ
33,29,37s27
33,30,37s60
33,31,37s64
33,32,37s90
33,33,37s98
33,34,38s41
33,35,DQ
33,36,DQ
34,459,2h08m44s
34,460,2h09m54s
34,461,2h10m05s
34,462,2h11m04s
34,463,2h11m15s
34,464,2h11m30s
34,465,2h11m42s
34,466,2h11m49s
34,467,2h11m52s
34,468,2h12m29s
35,449,2h24m04s
35,450,2h24m13s
35,451,2h24m30s
35,452,2h24m47s
35,453,2h24m48s
35,454,2h25m26s
35,455,2h26m08s
35,456,2h27m36s
35,457,2h28m25s
35,458,2h28m36s
36,9,22
36,10,19
37,12,36
37,11,26
38,9,38
38,12,37
39,10,24
39,11,23
40,9,31
40,13,27
41,14,20
41,12,33
42,15,26
42,10,27
43,16,23
43,11,32
44,1,28
44,2,26
45,4,31
45,3,25
46,1,29
46,3,28
47,4,28
47,2,29
48,3,30
48,5,27
49,1,37
49,6,30
50,4,34
50,7,22
51,8,27
51,2,34
